日期,热搜标题,热度,标签,新冠（0/1）,回应,Label-level-1,Label-level-2,Label-level-3
2020年01月13日23点数据,考拉去居民家和宠物狗同饮水,520061,软新闻-休闲,,,,,
2020年08月27日11点数据,琉璃,234228,软新闻-娱乐圈,,,,,
2020年10月23日11点数据,金晨留言鼓励粉丝,226018,软新闻-娱乐圈,,,,,
2020年07月01日23点数据,老干妈的商标,498808,社会热点-经济,,,,,
2020年05月06日11点数据,英专家称新冠病毒来自自然界,191826,国际新闻-国际新闻（与中国无关）,,,,,
2020年08月25日23点数据,爸爸要求儿子每天户外玩2小时,2914726,软新闻-休闲,,,,,
2020年05月19日23点数据,史上最短命驾照,2006484,软新闻-休闲,,,,,
2020年11月08日23点数据,黄绮珊张碧晨是否爱过我,170963,软新闻-娱乐圈,,,,,
2020年07月24日11点数据,二十不惑,89710,软新闻-娱乐圈,,,,,
2019年11月28日11点数据,冬日叠穿大法,144206,软新闻-休闲,,,,,
2020年12月26日11点数据,李晨王霏霏马伯骞无名之辈,538665,软新闻-娱乐圈,,,,,
2020年06月23日11点数据,北斗三号收官之星点火升空,732669,政绩类-爱国节日成就,,,,,
2020年09月29日23点数据,中医药大学推出药膳月饼,583089,社会热点-社会热点,,,,,
2020年06月11日23点数据,BLACKPINK回归日期,166087,软新闻-娱乐圈,,,,,
2020年09月27日23点数据,爷爷记不清孙女今天要结婚,762593,软新闻-休闲,,,,,
2020年09月02日23点数据,月亮,438339,软新闻-休闲,,,,,
2020年07月09日23点数据,周迅加盟乐队的夏天2,453501,软新闻-娱乐圈,,,,,
2020年03月13日23点数据,方舱读书哥回家了,289459,软新闻-休闲,,,,,
2020年02月19日11点数据,美国童子军申请破产,476134,国际新闻-国际新闻（与中国无关）,,,,,
2020年08月10日23点数据,真的有漫画脸女孩吗,677183,软新闻-休闲,,,,,
2020年04月10日11点数据,常住人口300万以下城市落户取消限制,208579,社会政策-政府政策,,,,,
2019年11月18日23点数据,猕猴雪中自制冰淇淋,134362,软新闻-休闲,,,,,
2020年01月12日11点数据,佟丽娅拼接毛绒裙,150493,软新闻-娱乐圈,,,,,
2019年12月03日11点数据,6省份月最低工资标准超2000元,1173698,社会热点-趋势,,,,,
2020年07月30日11点数据,罗艳被当作小三,221384,软新闻-娱乐圈,,,,,
2020年07月16日23点数据,华为回应美国将限制特定员工赴美签证,318811,国际新闻-中美关系,,回应,,,
2020年05月18日11点数据,王一博一个哈欠认出汪涵,751580,软新闻-娱乐圈,,,,,
2020年07月10日11点数据,武汉市高中非毕业年级今日正式复学,219464,社会政策-本地政策,,,,,
2020年04月29日23点数据,全年票房损失将超300亿元,207907,社会热点-趋势,,,,,
2020年07月08日11点数据,谭德塞称没有团结就无法战胜病毒,127540,国际新闻-国际新闻（与中国无关）,,,,,
2020年04月15日11点数据,敦煌动画剧,178103,软新闻-娱乐圈,,,,,
2020年11月10日11点数据,超好看汉服半价啦,1318448,软新闻-休闲,,,,,
2020年03月13日11点数据,英国停止对轻症患者进行检测,540600,国际新闻-国际新闻（与中国无关）,,,,,
2019年11月23日11点数据,吴磊 好胜心,404753,软新闻-娱乐圈,,,,,
2020年10月10日11点数据,兵哥哥2小时做814个单杠卷身上,444552,软新闻-休闲,,,,,
2020年04月09日11点数据,电影院等密闭式娱乐场所暂不开业,252681,社会政策-政府政策,,,,,
2020年06月27日23点数据,勇往直前的爷爷,2279567,软新闻-娱乐圈,,,,,
2020年11月17日11点数据,方怡答应做韦小宝老婆,156374,软新闻-娱乐圈,,,,,
2020年02月02日23点数据,钟南山称疑似病例自行隔离非常危险,1078521,社会热点-社会热点,1,,,,
2020年11月03日11点数据,大学生发明老人起行无忧椅,151631,软新闻-休闲,,,,,
2020年10月13日11点数据,海拔5300米女兵背30多斤装备巡线,273115,政绩类-模范,,,,,
2020年09月12日23点数据,山东乳山海景房低至每平米1800元,556023,社会热点-趋势,,,,,
2019年12月17日11点数据,李现寸头,117982,软新闻-娱乐圈,,,,,
2020年04月28日23点数据,高校为湖北师生设单间隔离14天,251864,社会热点-社会热点,1,,,,
2020年07月21日11点数据,许凯 我的姓都打错了,198259,软新闻-娱乐圈,,,,,
2020年11月08日23点数据,天津疫情,641811,社会新闻-灾难,1,,,,
2020年06月19日23点数据,外交部称什么是人质外交最好问加拿大,816974,国际新闻-国际新闻（与中国相关，非美国）,,,,,
2019年12月03日23点数据,lu一丝决定离婚,482577,软新闻-娱乐圈,,,,,
2020年10月23日11点数据,致敬抗美援朝英雄儿女,202205,政绩类-模范,,,,,
2019年12月31日11点数据,人人正式回归社交市场,79273,软新闻-休闲,,,,,
2020年08月10日11点数据,李宇春ELLE金九封面,125725,软新闻-娱乐圈,,,,,
2020年09月05日23点数据,这就是街舞,565839,软新闻-娱乐圈,,,,,
2020年06月02日11点数据,618列车,411784,软新闻-休闲,,,,,
2020年11月04日11点数据,我的理想生活很简单,177926,软新闻-休闲,,,,,
2020年09月05日23点数据,阻止车辆过桥30秒后桥塌了,561284,软新闻-社会怪事,,,,,
2020年08月16日23点数据,成都一男子冒充战疫医生吃霸王餐,844773,社会热点-社会热点,1,,,,
2020年09月26日23点数据,中国银行笔试,425340,社会热点-社会热点,,,,,
2020年09月19日11点数据,美国新冠肺炎超671万例,110482,国际新闻-国际新闻（与中国无关）,,,,,
2020年04月25日23点数据,母亲割肝救28岁儿子发现非血亲,3575123,软新闻-社会怪事,,,,,
2020年07月31日11点数据,狗子打架把饭桌掀了,491890,软新闻-休闲,,,,,
2020年06月28日11点数据,厦大学生否认发表不当言论并已报警,1408775,社会热点-社会热点,,,,,
2020年08月05日11点数据,苹果更新27寸iMac,502827,软新闻-休闲,,,,,
2020年09月16日23点数据,统计局谈为何没出现报复性消费,1458284,社会热点-趋势,,,,,
2020年11月14日11点数据,杀幽牙膏真的有用吗,242579,软新闻-休闲,,,,,
2020年09月17日23点数据,广州七彩祥云,304062,软新闻-休闲,,,,,
2020年08月20日11点数据,心动的礼物,1827276,软新闻-休闲,,,,,
2020年04月14日11点数据,杨幂粉丝,350572,软新闻-娱乐圈,,,,,
2020年12月02日11点数据,把中古店当菜市场逛,163254,软新闻-休闲,,,,,
2020年05月20日23点数据,周杰伦昆凌跳舞,432054,软新闻-娱乐圈,,,,,
2020年01月24日11点数据,林允拆快递,522789,软新闻-娱乐圈,,,,,
2020年02月07日23点数据,济南一家三代6口人感染,951248,社会热点-趋势,,,,,
2020年04月23日23点数据,肖战工作室律师声明,888067,软新闻-社会事件,,明星声明,,,
2020年09月01日11点数据,上学前的孩子有多开心,338280,软新闻-休闲,,,,,
2019年12月04日23点数据,被搭讪要微信的经历,894389,软新闻-休闲,,,,,
2020年02月18日23点数据,安倍,2426222,国际新闻-国际新闻（与中国无关）,,,,,
2020年12月18日11点数据,四川选调,264391,社会政策-本地政策,,,,,
2020年02月08日11点数据,一张图看懂新冠肺炎,204484,软新闻-休闲,1,,,,
2020年08月07日11点数据,赵优秀赴约梁爽前男友,88195,软新闻-娱乐圈,,,,,
2020年09月27日11点数据,原来温泉蛋是烫出来的,104018,软新闻-休闲,,,,,
2020年09月08日23点数据,女子杜撰遭性骚扰被判一年,492188,犯罪与审判,,,,,
2019年12月30日11点数据,赵丽颖在哪过新年,1828043,软新闻-娱乐圈,,,,,
2020年12月13日23点数据,凡尔赛牛肉泡面,545187,软新闻-休闲,,,,,
2020年10月05日23点数据,保安24小时轮班看守粉黛草丛,237005,软新闻-休闲,,,,,
2020年08月08日23点数据,17岁被逼婚少女想读高中,821665,社会热点-社会热点,,,,,
2020年10月11日11点数据,小朋友的快乐能有多简单,132393,软新闻-休闲,,,,,
2020年09月17日23点数据,鲍某某涉嫌性侵案调查情况,2332300,犯罪与审判,,,,,
2020年11月06日23点数据,特朗普11亿美元债务表,2839921,国际新闻-国际新闻（与中国无关）,,,,,
2020年10月01日23点数据,央视中秋晚会,935442,软新闻-娱乐圈,,,,,
2020年05月20日11点数据,玛莎拉蒂案死者母亲思儿过度离世,802235,社会热点-社会热点,,,,,
2020年10月15日23点数据,四川救人牺牲民警警号将永久封存,507606,政绩类-模范,,,,,
2020年03月04日23点数据,新冠病毒攻击中枢神经系统,2608599,社会热点-社会热点,,,,,
2020年06月13日11点数据,钟南山李兰娟张文宏禁毒宣传片,1872100,政绩类-模范,,,,,
2020年08月19日11点数据,倪妮同款肩颈线,1877775,软新闻-娱乐圈,,,,,
2020年03月09日11点数据,邓超以为孙俪用灵芝给他煲汤,4760217,软新闻-娱乐圈,,,,,
2020年02月23日11点数据,巴菲特2020致股东的信,164832,国际新闻-国际新闻（与中国无关）,,,,,
2019年12月12日11点数据,东北大鹅露天洗澡被冻在冰面上,459363,软新闻-休闲,,,,,
2020年11月02日11点数据,王者荣耀新游戏,137274,软新闻-娱乐圈,,,,,
2020年09月18日23点数据,乔欣 嫉妒不可耻,2147741,软新闻-娱乐圈,,,,,
2020年02月23日11点数据,任命吴磊为山东省监狱管理局局长,2943162,社会热点-社会热点,,,,,
2020年08月30日11点数据,如果宝宝有奥运会,149272,软新闻-休闲,,,,,
2020年02月11日23点数据,铁林黑化,238966,软新闻-娱乐圈,,,,,
2020年09月29日23点数据,半是蜜糖半是伤,438383,软新闻-娱乐圈,,,,,
2020年11月19日11点数据,曹译文父亲公司被指涉多条法律诉讼,334284,软新闻-社会事件,,,,,
2020年02月13日23点数据,下一站是幸福预告,322084,软新闻-娱乐圈,,,,,
2020年02月24日11点数据,苏打绿合体,197712,软新闻-娱乐圈,,,,,
2020年08月10日11点数据,猪肉价格上涨85.7%,301297,社会热点-趋势,,,,,
2020年11月01日11点数据,DWG夺冠,103271,软新闻-娱乐圈,,,,,
2019年12月25日11点数据,76岁日本主妇人生第一次打工,189345,软新闻-休闲,,,,,
2020年01月16日11点数据,中美签署第一阶段经贸协议,181878,国际新闻-中美关系,,,,,
2020年02月28日23点数据,理发师到底有多敬业,458238,软新闻-休闲,,,,,
2020年09月18日23点数据,网红拉姆遭前夫纵火焚烧重度烧伤,489343,软新闻-娱乐圈,,,,,
2020年08月16日11点数据,国家Ⅳ级救灾应急响应启动,533048,社会政策-政府政策,,,,,
2020年02月07日11点数据,上海个人隐瞒疫情将列入征信黑名单,136138,社会政策-本地政策,1,,,,
2020年10月14日11点数据,韩国外交部回应防弹少年团事件,104278,国际新闻-国际新闻（与中国无关）,,回应,,,
2020年02月19日11点数据,连续十年更新暖羊羊的帖子,1916999,软新闻-休闲,,,,,
2019年12月19日11点数据,冰上快闪我和我的祖国,622000,软新闻-休闲,,,,,
2019年11月25日11点数据,南京下雪,520664,软新闻-休闲,,,,,
2020年01月05日23点数据,武汉不明原因肺炎已排除SARS病原,2756473,社会新闻-灾难,,,,,
2020年12月13日11点数据,南京大屠杀死难者国家公祭仪式,287120,政绩类-爱国节日成就,,,,,
2020年12月07日11点数据,被叫做脂肪陛下的小海豹,289558,软新闻-休闲,,,,,
2020年09月11日11点数据,陈一鸣什么时候能找到工作,127839,软新闻-娱乐圈,,,,,
2020年10月22日23点数据,博君一肖 俯卧撑,458729,软新闻-娱乐圈,,,,,
2020年07月17日23点数据,外交部新任发言人汪文斌,287134,社会热点-社会热点,,,,,
2020年12月01日23点数据,爱的厘米,449222,软新闻-娱乐圈,,,,,
2020年12月03日23点数据,丁真的舅舅像疯了的郑伊健,291913,软新闻-娱乐圈,,,,,
2020年02月28日11点数据,斯黛拉 我能亲你吗,339731,软新闻-娱乐圈,,,,,
2020年07月21日23点数据,浙大通报努某某留校察看事件,608808,社会热点-社会热点,,,,,
2020年04月24日11点数据,多学生指控副校长性骚扰女学生,197302,社会热点-丑闻,,,,,
2020年03月17日11点数据,特朗普称美国经济可能走向衰退,2769844,国际新闻-国际新闻（与中国无关）,,,,,
2020年09月24日23点数据,桂花,317520,软新闻-休闲,,,,,
2020年11月07日23点数据,快乐大本营,1784447,软新闻-娱乐圈,,,,,
2020年11月09日11点数据,致敬最可爱的逆行者,140685,政绩类-模范,,,,,
2020年05月04日23点数据,相信未来,740487,软新闻-娱乐圈,,,,,
2019年12月18日11点数据,长美人痣是怎样的体验,346999,软新闻-休闲,,,,,
2020年04月02日11点数据,西昌南线山火蔓延,186190,社会新闻-灾难,,,,,
2020年06月28日23点数据,教育局回应女子在中学门前跳钢管舞,535315,社会热点-丑闻,,回应,,,
2020年05月25日23点数据,张智霖拍袁咏仪追李敏镐新剧,1235713,软新闻-娱乐圈,,,,,
2020年02月26日23点数据,闭关在家要认清的一个事实,640076,软新闻-休闲,,,,,
2020年11月23日11点数据,物理老师雪中用脚印画公式,153744,软新闻-休闲,,,,,
2019年12月08日11点数据,手机告白还是当面告白好,162164,软新闻-休闲,,,,,
2020年09月14日23点数据,司凤心疼璇玑,375849,软新闻-娱乐圈,,,,,
2020年11月30日11点数据,新规明确禁止忽悠式打折,248950,社会政策-政府政策,,,,,
2020年03月31日11点数据,高分卫星紧急驰援四川凉山森林火灾,396923,社会新闻-灾难,,,,,
2019年12月03日11点数据,彭昱畅出演中国女排,112611,软新闻-娱乐圈,,,,,
2020年07月05日23点数据,零关税澳大利亚牛肉在海南开售,438265,国际新闻-国际新闻（与中国无关）,,,,,
2020年01月28日11点数据,开窗唱歌可能传播病毒,408311,软新闻-休闲,,,,,
2020年07月29日23点数据,王一博关节万向轮挑战,196119,软新闻-娱乐圈,,,,,
2020年12月18日11点数据,梁咏琪20年前后对比照,266567,软新闻-娱乐圈,,,,,
2020年01月08日11点数据,我家的奇怪家规,92992,软新闻-休闲,,,,,
2019年12月14日23点数据,AG超玩会赢了,163270,软新闻-娱乐圈,,,,,
2020年07月02日23点数据,减脂麻辣烫花式吃法,398241,软新闻-休闲,,,,,
2020年03月31日23点数据,三生三世无忧糕,313413,软新闻-休闲,,,,,
2020年05月10日23点数据,女子将婴儿放花台在旁打工,254560,软新闻-休闲,,,,,
2019年12月07日11点数据,郑秀晶 北京,390308,软新闻-娱乐圈,,,,,
2020年01月29日23点数据,华山医院,914573,政绩类-爱国节日成就,,,,,
2020年08月19日23点数据,编剧起诉隐秘的角落出品方侵权,1409799,软新闻-社会事件,,,,,
2020年11月06日23点数据,鹿晗花5块钱开厕所门,653298,软新闻-娱乐圈,,,,,
2020年07月27日23点数据,卡塔尔有意愿申办2032年奥运,190982,国际新闻-国际新闻（与中国无关）,,,,,
2019年12月30日11点数据,詹姆斯当选过去十年最佳男运动员,250386,软新闻-娱乐圈,,,,,
2020年09月11日11点数据,山东男篮回应丁彦雨航,193688,软新闻-娱乐圈,,回应,,,
2020年09月09日23点数据,3岁女童凌晨独自上街小伙一路护送,259244,软新闻-休闲,,,,,
2020年07月19日23点数据,虞书欣小号暂停更新,219322,软新闻-娱乐圈,,,,,
2020年04月26日11点数据,意大利将对15万人免费展开血清抗体检测,265023,国际新闻-国际新闻（与中国相关，非美国）,,,,,
2020年10月10日11点数据,广州浪奇6700多万存款被冻结,192528,社会热点-经济,,,,,
2020年10月21日23点数据,东北大学清退52名博士生研究生,403175,社会热点-社会热点,,,,,
2020年03月14日11点数据,中国与瘟疫的千年战争,1337303,软新闻-休闲,1,,,,
